freq,unit,indic_il,deg_urb,sex,age,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,NAC,MEI_E,DEG1,M,Y_GE18,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21806 	22154 	22719 	23122 	23510 	23922 	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE18,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21833 	22029 	22602 	23016 	23409 	23817 	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE18,EE	: 	3745 	4237 	5082 	6241 	7206 	8270 	7793 	7171 	8066 b	9091 	10054 b	10748 	11417 	11854 	12556 	13550 	14406 	15488 	18045 
A,NAC,MEI_E,DEG1,M,Y_GE18,EL	11439 	11785 	12680 	13031 	13793 	14472 	15664 	16500 	14038 	11888 b	10404 	9863 	9774 	9773 	9715 	9906 	10482 	11293 	11017 	11802 
A,NAC,MEI_E,DEG1,M,Y_GE18,ES	: 	13316 	13853 	14675 	15295 	18677 b	19877 	19663 	19041 	18482 b	18216 	17666 	17508 	17811 	18371 	19269 	19819 	20597 	20187 	21549 
A,NAC,MEI_E,DEG1,M,Y_GE18,EU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	57636 e	61216 e	63091 e	66199 e	68812 e	: 	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE18,EU27_2007	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	57649 	61231 	63111 	66220 	68830 	87626 e	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE18,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	65544 e	70060 e	72522 e	75677 e	78779 e	87487 e	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE18,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	57636 	61216 	63091 	66199 	68812 	: 	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE18,FI	: 	21766 	23393 	23650 	24378 	26176 	27455 	28061 	28884 	29615 b	28825 	29261 	29049 	29340 	29708 	30318 	30665 	31786 	31659 	33063 
A,NAC,MEI_E,DEG1,M,Y_GE18,FR	: 	19087 	20096 	20022 	19875 	24282 b	25540 	25256 	26571 	27510 b	27685 	27923 	28035 	28426 	27873 	27773 	27976 	28376 b	29560 	29847 b
A,NAC,MEI_E,DEG1,M,Y_GE18,HR	: 	: 	: 	: 	: 	: 	: 	58882 	54521 	54772 b	55413 	54981 	58153 	59351 	62419 	65683 	68331 	73274 	77412 	84509 
A,NAC,MEI_E,DEG1,M,Y_GE18,HU	: 	: 	1236679 	1429526 	1421595 	1502708 	1590354 	1600553 	1778317 	1801057 b	1860071 	1931491 	1995077 	2112230 	2137142 	2205650 	2461818 	2830785 	3063302 	3257290 
A,NAC,MEI_E,DEG1,M,Y_GE18,IE	22889 	24608 	26584 	29570 	31097 	32440 	31248 	29570 	27387 	27590 b	28515 	28049 	28823 	30352 	31948 	33868 	33944 	36459 b	36463 	39478 
A,NAC,MEI_E,DEG1,M,Y_GE18,IS	: 	2299579 	2470172 	2807983 	3253378 	3616905 	4258074 	3894488 	3578034 	3675502 b	3978236 	4256289 	4426304 	4954787 	5387078 	5685630 	: 	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE18,IT	: 	18392 	19011 	18742 	19550 	19786 	20309 	20523 	20567 	20926 	20413 	20415 	20467 b	20986 	21221 	21832 	21783 	22519 	22499 	24032 
A,NAC,MEI_E,DEG1,M,Y_GE18,LT	: 	: 	11713 	14149 	18064 	22473 	25959 	21437 	18984 	22259 b	23686 	25008 	7947 	8969 	10303 	11012 	11579 	13646 	14836 	15849 
A,NAC,MEI_E,DEG1,M,Y_GE18,LU	31082 	30654 	32293 	33006 	34563 	35766 	35651 	36529 	37237 	44746 b	45658 	44810 	45683 	45208 b	48977 	47924 	49835 	51539 b	58032 b	59571 b
A,NAC,MEI_E,DEG1,M,Y_GE18,LV	: 	: 	3370 	4256 	5151 	7192 	7803 	6240 	5965 	6293 b	6696 	7594 	8260 	8837 	9233 	10347 	11473 	11894 	13197 	14036 
A,NAC,MEI_E,DEG1,M,Y_GE18,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	176662 	181137 	196042 	206527 	223605 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE18,MT	: 	: 	4395 	4633 	10698 	11755 	12529 	12330 	12787 	13482 b	14301 	15059 	15822 	15956 	16897 	17234 	17770 	19441 	19622 	20239 
A,NAC,MEI_E,DEG1,M,Y_GE18,NL	: 	: 	20628 	21045 	22534 	23648 	23961 	23870 	23836 	23808 b	23724 	23825 	24264 	25825 b	26926 	27381 	27852 	29234 	30446 	31807 
A,NAC,MEI_E,DEG1,M,Y_GE18,NO	: 	258719 	286555 	275808 	269726 	303546 	327909 	330434 	337017 	358175 b	370121 	: 	400713 	422517 	424377 	397522 	425709 	458890 	469111 b	502702 
A,NAC,MEI_E,DEG1,M,Y_GE18,PL	: 	: 	17224 	18827 	20214 	23589 	26864 	27848 	28720 	30406 b	30980 	32116 	33226 	33799 	35817 	37123 	40996 	45778 	47814 	54189 
A,NAC,MEI_E,DEG1,M,Y_GE18,PT	: 	11164 	11603 	11852 	12005 	12343 	12683 	12387 	12461 	12515 b	11768 	11630 	11881 	12494 	12817 	12813 	13350 	14347 	14755 	14698 
A,NAC,MEI_E,DEG1,M,Y_GE18,RO	: 	: 	: 	: 	9810 	11059 	13216 	13926 	14053 	14076 b	13673 	14879 	15282 	16801 	18749 	24751 	29554 	31076 	36315 	40274 
A,NAC,MEI_E,DEG1,M,Y_GE18,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	424130 	413665 	421835 	423108 	440532 	452929 	538886 	631683 	695633 	726623 
A,NAC,MEI_E,DEG1,M,Y_GE18,SE	: 	191345 	202193 	198014 	208773 	224279 b	247533 	241628 	249699 	262635 b	257432 	262013 	267628 	281112 	295525 	294100 	292294 	310573 	319132 	323441 
A,NAC,MEI_E,DEG1,M,Y_GE18,SI	: 	: 	2592786 	2740508 	12201 	13268 	14273 	14241 	14554 	14211 b	13919 	14217 	14650 	14739 	14776 	15238 	16253 	16644 	17858 	18652 
A,NAC,MEI_E,DEG1,M,Y_GE18,SK	: 	: 	150412 	182455 	196481 	214564 	7771 	8176 	8337 	9169 b	8625 	9055 	8562 	9287 	9135 	9266 	10351 	10585 	10086 	10806 
A,NAC,MEI_E,DEG1,M,Y_GE18,UK	: 	: 	16478 	16474 	17700 	19451 	18007 	18244 	19093 	19191 b	19145 	20064 	20279 	20889 	23431 b	23928 	: 	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE60,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	367041 	377524 	401337 	427585 	430709 	: 
A,NAC,MEI_E,DEG1,M,Y_GE60,AT	20721 	23797 	24715 	23934 	24873 	24803 b	25301 	27591 	27605 	28461 b	28082 	30145 	30872 	32147 	34705 	33889 	33088 	34141 	32576 	36799 
A,NAC,MEI_E,DEG1,M,Y_GE60,BE	15006 	15247 	15879 	16830 	17620 	17164 	19777 	20931 	20654 	20356 b	22912 	23104 	23933 	25898 	23186 	23360 	24696 b	27372 	25642 	28714 
A,NAC,MEI_E,DEG1,M,Y_GE60,BG	: 	: 	: 	3213 	3394 	5042 	6360 	7883 	7793 	7284 b	8504 	9736 	9787 	9041 b	10915 	10577 	11391 	12481 	14831 	15259 
A,NAC,MEI_E,DEG1,M,Y_GE60,CH	: 	: 	: 	: 	56939 	57730 	57389 	58856 	57211 	55879 b	56431 	60457 b	59684 	56371 	57624 	54691 	52972 	57659 	57000 	56341 
A,NAC,MEI_E,DEG1,M,Y_GE60,CY	: 	: 	8349 	9192 	10512 	10706 b	20077 	22545 	22126 	24713 b	25439 	22762 	21935 	20307 	20968 	21411 	23256 	21875 	23030 	22934 
A,NAC,MEI_E,DEG1,M,Y_GE60,CZ	: 	: 	146839 	152673 	166348 	181494 	197939 	214258 	217339 	225112 b	234293 	229485 	228461 	235742 	246321 	260768 	272763 	290462 	316891 	339390 
A,NAC,MEI_E,DEG1,M,Y_GE60,DE	: 	: 	19425 	17691 	21360 	21568 	21101 	22268 	22420 	22551 b	22929 	22352 	22735 	23525 	23607 	24581 	25214 	30075 b	28651 	28194 
A,NAC,MEI_E,DEG1,M,Y_GE60,DK	205064 	181691 	181129 	187122 	200515 	202808 	198556 	215882 	247492 b	224096 b	223310 	241268 	252345 	266947 	255583 	277497 	242059 	265702 b	286706 	280330 
A,NAC,MEI_E,DEG1,M,Y_GE60,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23336 e	23350 e	23851 e	24197 e	24584 e	24590 e	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE60,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23336 	23480 	23969 	24305 	24685 	24695 	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE60,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23322 	23350 	23851 	24197 	24584 	24590 	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE60,EE	: 	3081 	3536 	4078 	4855 	5842 	6781 	6807 	6594 	6750 b	7431 	7886 b	8578 	8932 	9717 	10155 	10913 	11894 	12273 	13542 
A,NAC,MEI_E,DEG1,M,Y_GE60,EL	10966 	11439 	11400 	12388 	13615 	13746 	14771 	16530 	13216 	12364 b	10761 	10512 	10247 	10114 	10123 	10285 	10865 	11816 	11816 	11975 
A,NAC,MEI_E,DEG1,M,Y_GE60,ES	: 	11771 	12321 	12746 	13766 	18778 b	19939 	20013 	19316 	19315 b	19289 	19189 	19337 	19376 	19666 	19898 	21302 	22263 	21938 	22818 
A,NAC,MEI_E,DEG1,M,Y_GE60,EU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	57032 e	61045 e	63183 e	63491 e	67177 e	: 	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE60,EU27_2007	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	57051 	61086 	63241 	63529 	67236 	84219 e	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE60,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	64319 e	69498 e	71819 e	72623 e	76444 e	84020 e	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE60,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	57032 	61045 	63183 	63491 	67177 	: 	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE60,FI	: 	21034 	22093 	22102 	23100 	26874 	28107 	28897 	29471 	30859 b	29520 	30733 	31776 	31591 	31454 	31357 	31490 	32491 	31685 	35431 
A,NAC,MEI_E,DEG1,M,Y_GE60,FR	: 	20354 	21419 	20340 	21218 	27169 b	30722 	29133 	30589 	31799 b	30268 	32413 	31898 	31887 	32437 	32609 	32455 	29596 b	31061 	30387 b
A,NAC,MEI_E,DEG1,M,Y_GE60,HR	: 	: 	: 	: 	: 	: 	: 	53365 	52899 	52428 b	53815 	52890 	53311 	52930 	57113 	57698 	58680 	63570 	64777 	72754 
A,NAC,MEI_E,DEG1,M,Y_GE60,HU	: 	: 	1211022 	1410318 	1410680 	1572035 	1643572 	1597301 	1730673 	1787892 b	1864460 	1991756 	2007405 	2062630 	2009109 	2140060 	2341677 	2815648 	2874524 	3219210 
A,NAC,MEI_E,DEG1,M,Y_GE60,IE	18217 	20634 	22276 	23748 	25855 	32080 	31961 	29487 	27217 	29009 b	28787 	29065 	29529 	29667 	29574 	29742 	32531 	34273 b	37093 	39079 
A,NAC,MEI_E,DEG1,M,Y_GE60,IS	: 	2276715 	2430885 	2862127 	3016473 	3571562 	5035942 	4738248 	3913794 	4064842 b	4261828 	4493426 	4745147 	5308969 	5804548 	6002334 	: 	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE60,IT	: 	17942 	18124 	18887 	19814 	20237 	21753 	21535 	22166 	22843 	22682 	22184 	22611 b	23589 	23911 	24460 	24676 	25706 	25651 	26325 
A,NAC,MEI_E,DEG1,M,Y_GE60,LT	: 	: 	10420 	11751 	15024 	18117 	22885 	20936 	17448 	19570 b	20645 	21436 	6374 	7332 	8424 	9183 	9852 	10907 	11725 	12003 
A,NAC,MEI_E,DEG1,M,Y_GE60,LU	32891 	31254 	33671 	35243 	37018 	38446 	38728 	39542 	40214 	46823 b	45923 	46212 	50773 	47792 b	49685 	55584 	46756 	47466 b	58905 b	66782 b
A,NAC,MEI_E,DEG1,M,Y_GE60,LV	: 	: 	2976 	3324 	4300 	5164 	6199 	5438 	5663 	5742 b	5969 	6522 	6957 	7297 	7693 	8482 	9061 	9472 	10886 	11253 
A,NAC,MEI_E,DEG1,M,Y_GE60,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	201844 	208121 	224067 	227778 	247720 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE60,MT	: 	: 	3580 	3848 	8749 	9466 	10441 	10414 	11028 	11743 b	12152 	12737 	13553 	13748 	14574 	14466 	14703 	16656 	16105 	17049 
A,NAC,MEI_E,DEG1,M,Y_GE60,NL	: 	: 	21393 	21257 	21146 	22706 	23336 	23383 	23390 	23960 b	23942 	23989 	24240 	25104 b	25971 	26495 	26220 	27692 	27788 	29371 
A,NAC,MEI_E,DEG1,M,Y_GE60,NO	: 	249131 	356631 	241707 	271961 	296321 	329438 	332877 	360656 	373498 b	386390 	: 	452467 	454972 	495805 	460218 	508020 	507455 	493434 b	606538 
A,NAC,MEI_E,DEG1,M,Y_GE60,PL	: 	: 	17608 	19300 	20210 	23018 	25663 	27349 	28182 	29342 b	29569 	30496 	31979 	32066 	33959 	35299 	37099 	40659 	42566 	48672 
A,NAC,MEI_E,DEG1,M,Y_GE60,PT	: 	11030 	11263 	12618 	12543 	12938 	13780 	13515 	13183 	13577 b	13498 	13116 	13038 	13805 	14522 	13879 	14481 	15168 	15741 	16239 
A,NAC,MEI_E,DEG1,M,Y_GE60,RO	: 	: 	: 	: 	8420 	9749 	12661 	14019 	14626 	14368 b	14239 	15889 	15898 	16760 	18184 	21945 	24963 	26980 	31051 	38057 
A,NAC,MEI_E,DEG1,M,Y_GE60,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	442087 	428343 	415730 	456135 	449172 	457926 	533110 	600616 	651794 	675600 
A,NAC,MEI_E,DEG1,M,Y_GE60,SE	: 	187638 	231236 	205270 	214018 	223485 b	254382 	262446 	289096 	292245 b	289161 	294347 	295884 	336039 	345794 	303707 	307316 	325188 	337768 	332455 
A,NAC,MEI_E,DEG1,M,Y_GE60,SI	: 	: 	2625519 	2796257 	12253 	13711 	15194 	15118 	15133 	15326 b	14437 	14794 	15311 	15727 	15508 	16469 	16794 	16677 	17474 	18024 
A,NAC,MEI_E,DEG1,M,Y_GE60,SK	: 	: 	135377 	165102 	172771 	186520 	6940 	7633 	7707 	7704 b	7889 	8246 	8232 	8299 	8346 	8708 	9492 	9723 	9505 	10130 
A,NAC,MEI_E,DEG1,M,Y_GE60,UK	: 	: 	13734 	14330 	14921 	16314 	15568 	16329 	17082 	17331 b	17264 	18524 	18719 	19252 	20524 b	21271 	: 	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE65,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	341921 	357980 	386307 	409387 	416242 	: 
A,NAC,MEI_E,DEG1,M,Y_GE65,AT	20392 	21844 	24477 	22999 	24535 	24326 b	25326 	27979 	28332 	28970 b	27848 	29940 	30926 	32118 	33596 	34254 	33442 	34691 	34714 	36900 
A,NAC,MEI_E,DEG1,M,Y_GE65,BE	14045 	14454 	15007 	15294 	16411 	16303 	19369 	19348 	18987 	19178 b	22550 	22308 	23411 	25952 	21287 	22129 	23489 b	27410 	24185 	26858 
A,NAC,MEI_E,DEG1,M,Y_GE65,BG	: 	: 	: 	3019 	3163 	4405 	5410 	7130 	7211 	6494 b	7381 	8461 	7882 	8563 b	9630 	9731 	10193 	10753 	13167 	14095 
A,NAC,MEI_E,DEG1,M,Y_GE65,CH	: 	: 	: 	: 	50858 	50658 	52683 	51637 	50963 	52891 b	53468 	59031 b	57559 	50633 	51243 	51891 	50036 	54844 	52205 	54139 
A,NAC,MEI_E,DEG1,M,Y_GE65,CY	: 	: 	7399 	8179 	8557 	9619 b	16947 	17638 	18549 	21271 b	22965 	19414 	19872 	19015 	19188 	19501 	20363 	20004 	21644 	22143 
A,NAC,MEI_E,DEG1,M,Y_GE65,CZ	: 	: 	136684 	144755 	157060 	164497 	181421 	200787 	205482 	215804 b	226365 	218334 	218808 	217979 	225001 	232172 	253651 	273746 	299068 	317361 
A,NAC,MEI_E,DEG1,M,Y_GE65,DE	: 	: 	18997 	17214 	20912 	21167 	20919 	22217 	22435 	22691 b	22551 	22361 	22680 	23120 	23327 	24437 	24468 	28700 b	27297 	27358 
A,NAC,MEI_E,DEG1,M,Y_GE65,DK	173245 	170876 	162632 	167274 	174228 	184506 	184403 	183618 	217071 b	199969 b	214730 	232185 	239267 	260842 	243655 	236922 	227630 	241412 b	247500 	252195 
A,NAC,MEI_E,DEG1,M,Y_GE65,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23119 e	23239 e	23463 e	23323 e	23875 e	23859 e	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE65,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23119 	23373 	23582 	23429 	23970 	23963 	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE65,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23099 	23239 	23463 	23323 	23875 	23859 	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE65,EE	: 	2911 	3253 	3611 	4297 	5119 	6104 	6441 	6248 	6434 b	7213 	7338 b	8128 	8250 	8739 	9378 	10374 	11112 	11815 	12207 
A,NAC,MEI_E,DEG1,M,Y_GE65,EL	10503 	11126 	11097 	11740 	12848 	13257 	13814 	15309 	12722 	12435 b	10607 	10364 	10289 	10225 	10008 	10170 	10522 	11527 	12053 	12011 
A,NAC,MEI_E,DEG1,M,Y_GE65,ES	: 	11174 	11624 	12038 	13046 	17681 b	18715 	18889 	18481 	18458 b	18425 	18742 	18670 	18787 	18908 	19248 	20062 	21267 	21586 	21983 
A,NAC,MEI_E,DEG1,M,Y_GE65,EU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	54740 e	59076 e	61302 e	63853 e	66462 e	: 	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE65,EU27_2007	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	54761 	59124 	61358 	63903 	66524 	77303 e	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE65,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	61974 e	67358 e	69914 e	72777 e	75711 e	77151 e	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE65,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	54740 	59076 	61302 	63853 	66462 	: 	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE65,FI	: 	19045 	20846 	20204 	20130 	23538 	25222 	26807 	25954 	29749 b	28401 	29896 	30220 	30388 	30522 	29360 	30080 	31121 	30776 	34701 
A,NAC,MEI_E,DEG1,M,Y_GE65,FR	: 	19721 	21486 	20103 	21110 	27272 b	30170 	29451 	31055 	32422 b	30121 	32945 	32890 	32110 	30402 	31690 	32712 	29450 b	28348 	27889 b
A,NAC,MEI_E,DEG1,M,Y_GE65,HR	: 	: 	: 	: 	: 	: 	: 	50837 	49892 	49500 b	52887 	50044 	49484 	50942 	55283 	56362 	58038 	60816 	62157 	67082 
A,NAC,MEI_E,DEG1,M,Y_GE65,HU	: 	: 	1140973 	1315122 	1371366 	1491950 	1594866 	1581159 	1668343 	1739890 b	1838869 	1962424 	2044133 	2102508 	2128861 	2165431 	2213888 	2682084 	2806414 	3111784 
A,NAC,MEI_E,DEG1,M,Y_GE65,IE	17809 	18647 	19559 	20400 	23122 	29931 	28915 	27966 	26012 	28260 b	28604 	27476 	29105 	29036 	29286 	28865 	30694 	33715 b	34657 	36323 
A,NAC,MEI_E,DEG1,M,Y_GE65,IS	: 	1923879 	2164479 	2448210 	2745329 	3285969 	4603832 	4527747 	3762995 	3979846 b	4187920 	4325332 	4601777 	5045641 	5588542 	5999900 	: 	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE65,IT	: 	17369 	17144 	18235 	18970 	19417 	20950 	20735 	21152 	21661 	21835 	22037 	22638 b	23273 	23827 	23687 	24265 	25256 	25949 	26241 
A,NAC,MEI_E,DEG1,M,Y_GE65,LT	: 	: 	9873 	11520 	14003 	18122 	22358 	19985 	17094 	18202 b	20331 	20408 	5761 	6809 	7973 	8748 	8916 	10072 	10167 	10972 
A,NAC,MEI_E,DEG1,M,Y_GE65,LU	31263 	29331 	32256 	32487 	34081 	34614 	35195 	37202 	40115 	50216 b	45161 	46233 	50442 	48841 b	51357 	58498 	50131 	49125 b	61796 b	72190 b
A,NAC,MEI_E,DEG1,M,Y_GE65,LV	: 	: 	2671 	3056 	4134 	4788 	5617 	5181 	5418 	5392 b	5644 	6262 	6522 	6755 	7436 	8093 	8603 	8990 	11163 	11041 
A,NAC,MEI_E,DEG1,M,Y_GE65,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	205809 	204628 	231236 	235561 	248935 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE65,MT	: 	: 	3473 	3665 	8339 	8933 	10049 	10239 	10360 	11133 b	11727 	12536 	13075 	12843 	13452 	13673 	13567 	15723 	15675 	16385 
A,NAC,MEI_E,DEG1,M,Y_GE65,NL	: 	: 	21301 	20822 	19049 	21364 	22105 	21945 	21963 	22531 b	22849 	22843 	23164 	23919 b	24601 	25381 	24633 	25780 	26198 	27258 
A,NAC,MEI_E,DEG1,M,Y_GE65,NO	: 	228654 	392360 	213502 	254927 	269999 	306416 	310945 	345319 	352435 b	357384 	: 	424729 	429676 	447887 	442271 	489483 	473785 	465334 b	538079 
A,NAC,MEI_E,DEG1,M,Y_GE65,PL	: 	: 	17565 	19597 	19918 	21994 	23983 	25668 	27234 	28678 b	29575 	31116 	31670 	32344 	33704 	34853 	36738 	39554 	40996 	47067 
A,NAC,MEI_E,DEG1,M,Y_GE65,PT	: 	10640 	10323 	11347 	11434 	12294 	13076 	13086 	12999 	13481 b	12969 	12203 	12776 	13299 	13928 	13788 	14594 	14924 	15976 	16168 
A,NAC,MEI_E,DEG1,M,Y_GE65,RO	: 	: 	: 	: 	7858 	9302 	12194 	13528 	14811 	14734 b	14463 	15912 	15538 	16605 	18025 	20872 	22824 	25319 	30168 	37911 
A,NAC,MEI_E,DEG1,M,Y_GE65,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	449064 	459015 	443054 	475007 	443508 	464229 	521271 	559273 	613753 	671104 
A,NAC,MEI_E,DEG1,M,Y_GE65,SE	: 	176344 	191087 	190890 	188355 	188128 b	220872 	238627 	294220 	278889 b	275211 	292162 	283148 	326474 	335896 	284425 	275915 	309351 	309015 	305548 
A,NAC,MEI_E,DEG1,M,Y_GE65,SI	: 	: 	2568965 	2728802 	11999 	13306 	14996 	15167 	15703 	15670 b	14455 	15393 	15739 	16291 	15668 	16506 	16855 	16754 	17155 	17615 
A,NAC,MEI_E,DEG1,M,Y_GE65,SK	: 	: 	133499 	144514 	159213 	174141 	6210 	7002 	7193 	7159 b	7561 	7684 	7853 	8261 	7979 	8300 	8778 	9113 	9213 	9641 
A,NAC,MEI_E,DEG1,M,Y_GE65,UK	: 	: 	13466 	13876 	14414 	15219 	14700 	15477 	16178 	16822 b	16440 	18204 	18228 	18526 	20349 b	20933 	: 	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE75,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	338963 	351807 	386622 	404386 	380596 	: 
A,NAC,MEI_E,DEG1,M,Y_GE75,AT	20833 u	23842 	23163 	21590 	22190 	23288 b	23781 	26896 	27176 	26114 b	25651 	27225 	31335 	32471 	32867 	34069 	34183 	32669 	34053 	36860 
A,NAC,MEI_E,DEG1,M,Y_GE75,BE	13754 	14494 	14235 	14288 	16005 	16117 	18058 	18445 	17854 	18273 b	20518 	20939 	22191 	21321 	20437 	20980 	21914 b	22007 	23898 	23005 
A,NAC,MEI_E,DEG1,M,Y_GE75,BG	: 	: 	: 	2857 	3167 	3856 	5050 	6412 	6459 	5869 b	5974 	6976 	6566 	7514 b	7199 	7555 	8717 	8797 	10449 	11122 
A,NAC,MEI_E,DEG1,M,Y_GE75,CH	: 	: 	: 	: 	47341 	49098 	43484 	47264 	48615 	47390 b	46399 	52554 b	52503 	46664 	47145 	51764 	46943 	52448 	49547 	50016 
A,NAC,MEI_E,DEG1,M,Y_GE75,CY	: 	: 	5728 	5988 	6750 	7325 b	12775 	13312 	14622 	17100 b	17539 	14996 	14928 	15032 	15939 	17269 	16438 	16742 	17128 	17413 
A,NAC,MEI_E,DEG1,M,Y_GE75,CZ	: 	: 	121236 	129728 	141602 	153940 	170935 	183989 	197455 	205263 b	210982 	205475 	197157 	203173 	200840 	212352 	229831 	249519 	271101 	278809 
A,NAC,MEI_E,DEG1,M,Y_GE75,DE	: 	: 	19106 	17692 	20522 	20010 	20526 	21157 	22127 	23074 b	22938 	22445 	23285 	23216 	23137 	24699 	25324 	28325 b	27337 	27304 
A,NAC,MEI_E,DEG1,M,Y_GE75,DK	150440 	161492 	153009 	157937 	155752 	154649 	135143 	137914 	180300 b	168812 b	173470 	192262 	190799 	207246 	223397 	219924 	204198 	234897 b	230007 	233142 
A,NAC,MEI_E,DEG1,M,Y_GE75,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22040 e	22530 e	22224 e	22435 e	22938 e	22983 e	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE75,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22040 e	22658 e	22344 e	22540 e	23036 e	23092 e	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE75,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22012 e	22530 e	22224 e	22435 e	22938 e	22983 e	: 	: 	: 
A,NAC,MEI_E,DEG1,M,Y_GE75,EE	: 	2759 	2705 	3192 	3796 	4545 	5519 	5955 	5544 	5563 b	5836 	6119 b	6855 	7165 	7441 	8114 	9414 	10095 	10824 	10462 
A,NAC,MEI_E,DEG1,M,Y_GE75,EL	9819 	9986 	10590 	11161 	11812 	13149 	13272 	13443 	11024 	11419 b	10232 	9612 	9742 	9895 	9791 	9784 	10274 	10685 	10877 	11504 
A,NAC,MEI_E,DEG1,M,Y_GE75,ES	: 	10399 	10760 	11315 	12237 	17018 b	17952 	17831 	17236 	16673 b	16861 	16958 	16473 	16635 	17017 	17719 	18288 	18898 	19380 	19611 
A,NAC,MEI_E,DEG1,M,Y_GE75,EU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	49467 e	55054 e	57306 e	57263 e	62256 e	: 	: 	: 	: 
