freq,unit,indic_il,deg_urb,sex,age,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,EUR,MED_E,DEG1,F,Y_GE18,LU	24611 	26067 	26809 	27621 	27618 	28797 	29470 	30889 	31007 	37029 b	35194 	37447 	37452 	35760 b	39876 	37962 	40728 	44251 b	52230 b	55315 b
A,EUR,MED_E,DEG1,F,Y_GE18,LV	: 	: 	2363 	2971 	3854 	5219 	5691 	4871 	4435 	4594 b	4977 	5551 	6135 	6653 	7064 	7719 	8384 	8844 	9218 	10247 
A,EUR,MED_E,DEG1,F,Y_GE18,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2577 	2699 	2845 	3077 	3350 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE18,MT	: 	: 	8694 	9184 	9311 	10009 	10585 	10500 	10861 	11478 b	12047 	12796 	13483 	13604 	14375 	14581 	15069 	16146 	15686 	16278 
A,EUR,MED_E,DEG1,F,Y_GE18,NL	: 	: 	17218 	17526 	18423 	19724 	20401 	20463 	20583 	19921 b	20272 	20742 	20565 	21736 b	22719 	22939 	23618 	24670 	26945 	27617 
A,EUR,MED_E,DEG1,F,Y_GE18,NO	: 	27191 	26196 	28417 	29679 	32695 	34574 	33711 	37921 	41503 b	44211 	: 	41509 	38864 	37773 	38819 	39465 	41033 	35325 b	39115 
A,EUR,MED_E,DEG1,F,Y_GE18,PL	: 	: 	3026 	3766 	4201 	4935 	6025 	5173 	5900 	5985 b	6023 	6260 	6475 	6844 	6810 	7301 	8012 	8822 	9100 	9988 
A,EUR,MED_E,DEG1,F,Y_GE18,PT	: 	8096 	8450 	8466 	8523 	9248 	9501 	9938 	9604 	9424 b	9002 	9079 	9036 	9520 	9880 	10177 	10804 	12005 	11988 	12233 
A,EUR,MED_E,DEG1,F,Y_GE18,RO	: 	: 	: 	: 	2196 	2744 	2946 	2802 	2857 	2851 b	2605 	2955 	3001 	3316 	3772 	4672 	5260 	5865 	6732 	7330 
A,EUR,MED_E,DEG1,F,Y_GE18,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3108 	3111 	3113 	2982 	3002 	3206 	3957 	4260 	4726 	5104 
A,EUR,MED_E,DEG1,F,Y_GE18,SE	: 	18130 	18189 	19557 	19961 	21058 b	21787 	19170 	21407 	24572 b	25144 	25942 	25182 	25373 	26327 	26714 	24970 	25023 	26370 	27358 
A,EUR,MED_E,DEG1,F,Y_GE18,SI	: 	: 	9385 	9913 	10946 	11600 	12510 	12460 	12842 	12621 b	11905 	12343 	12674 	12672 	12891 	13433 	14075 	14607 	15722 	16168 
A,EUR,MED_E,DEG1,F,Y_GE18,SK	: 	: 	3053 	3749 	4417 	5369 	6605 	7172 	7222 	7932 b	7458 	7481 	7658 	7868 	8094 	8542 	9108 	9773 	9425 	9978 
A,EUR,MED_E,DEG1,F,Y_GE18,UK	: 	: 	18185 	19047 	20885 	18667 	15957 	16670 	16748 	19177 b	18651 	19932 	20515 	20889 	20751 b	21172 	: 	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE60,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2169 	2356 	2504 	2874 	2849 	: 
A,EUR,MED_E,DEG1,F,Y_GE60,AT	16267 	17526 	19216 	18201 	18858 	18334 b	19640 	20868 	21228 	21536 b	22398 	23671 	23873 	24579 	25802 	25064 	27163 	27859 	28108 	27782 
