freq,unit,landuse,geo,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
A,KM2,L0008,AT334,3297.4,3297.4,3297.5,3297.5,3297.4,3297.4,3297.4,3297.2,3297.2,3297.2,3297.3,3297.3,3296.3,3296.3,3296.3,3296.3,3296.3,3296.3,3292.3,3292.3,3292.4,3292.4,3293.0,3293.0,3293.0,3293.0
A,KM2,L0008,AT335,3931.3,3931.3,3931.3,3931.2,3930.6,3931.4,3931.2,3930.5,3930.5,3930.5,3932.0,3932.0,3932.0,3932.0,3932.0,3931.7,3931.7,3931.7,3925.6,3925.6,3924.6,3924.6,3924.0,3924.0,3924.0,3924.0
A,KM2,L0008,AT34,2533.7,2533.7,2533.7,2533.6,2533.7,2533.9,2534.7,2534.7,2534.7,2534.7,2535.5,2535.5,2535.5,2535.5,2535.5,2534.8,2534.8,2534.8,2533.8,2533.8,2533.6,2533.6,2534.0,2534.0,2534.0,2534.0
A,KM2,L0008,AT341,1855.5,1855.5,1855.5,1855.5,1855.6,1855.7,1855.7,1855.7,1855.6,1855.6,1856.1,1856.1,1856.2,1856.2,1856.2,1855.7,1855.7,1855.7,1853.5,1853.5,1853.0,1853.0,1854.0,1854.0,1854.0,1854.0
A,KM2,L0008,AT342,678.2,678.2,678.2,678.2,678.1,678.1,679.0,679.0,679.1,679.1,679.3,679.3,679.3,679.3,679.3,679.1,679.1,679.1,680.3,680.3,680.6,680.6,680.0,680.0,680.0,680.0
A,KM2,L0008,BE,30328.0,30328.0,30328.0,30328.0,30328.0,30328.0,30328.0,30328.0,30328.0,30328.0,30328.0,30328.0,30328.0,30328.0,30328.0,30328.0,30328.0,30328.0,30328,30328,30376,30326,30326,30326,30326.0,30326.0
A,KM2,L0008,BE1,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161,161,160,161,161,161,161.0,161.0
A,KM2,L0008,BE10,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161,161,160,161,161,161,161.0,161.0
A,KM2,L0008,BE100,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161,161,160,161,161,161,161.0,161.0
A,KM2,L0008,BE2,13364.0,13364.0,13364.0,13364.0,13364.0,13364.0,13364.0,13364.0,13364.0,13364.0,13364.0,13364.0,13364.0,13364.0,13364.0,13364.0,13364.0,13364.0,13364.0,13364.0,13419.0,13360.0,13360.0,13360.0,13360.0,13360.0
A,KM2,L0008,BE21,2792.0,2792.0,2792.0,2792.0,2792.0,2792.0,2792.0,2792.0,2792.0,2792.0,2792.0,2792.0,2792.0,2792.0,2792.0,2792.0,2792.0,2792.0,2792.0,2792.0,2834.0,2796.0,2796.0,2796.0,2796.0,2796.0
A,KM2,L0008,BE211,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,992.0,957.0,957.0,957.0,957.0,957.0
A,KM2,L0008,BE212,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,503.0,498.0,498.0,498.0,498.0,498.0
A,KM2,L0008,BE213,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0,1342.0,1342.0,1342.0,1342.0,1342.0
A,KM2,L0008,BE22,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2394.0,2392.0,2388.0,2388.0,2388.0,2388.0,2388.0
A,KM2,L0008,BE221,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,893.0,891.0,891.0,891.0,891.0,891.0
A,KM2,L0008,BE222,874.0,874.0,874.0,874.0,874.0,874.0,874.0,874.0,874.0,874.0,874.0,874.0,874.0,874.0,874.0,874.0,874.0,874.0,874.0,874.0,871.0,870.0,870.0,870.0,870.0,870.0
A,KM2,L0008,BE223,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,627.0,627.0,627.0,627.0,627.0
A,KM2,L0008,BE23,2946.0,2946.0,2946.0,2946.0,2946.0,2946.0,2946.0,2946.0,2946.0,2946.0,2946.0,2946.0,2946.0,2946.0,2946.0,2946.0,2946.0,2946.0,2946.0,2946.0,2963.0,2948.0,2948.0,2948.0,2948.0,2948.0
A,KM2,L0008,BE231,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,468.0,469.0,469.0,469.0,469.0,469.0
A,KM2,L0008,BE232,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,338.0,335.0,335.0,335.0,335.0,335.0
A,KM2,L0008,BE233,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,331.0,332.0,332.0,332.0,332.0,332.0
A,KM2,L0008,BE234,934.0,934.0,934.0,934.0,934.0,934.0,934.0,934.0,934.0,934.0,934.0,934.0,934.0,934.0,934.0,934.0,934.0,934.0,934.0,934.0,937.0,935.0,935.0,935.0,935.0,935.0
A,KM2,L0008,BE235,418.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,418.0,417.0,419.0,419.0,419.0,419.0,419.0
A,KM2,L0008,BE236,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,471.0,458.0,458.0,458.0,458.0,458.0
A,KM2,L0008,BE24,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2096.0,2102.0,2102.0,2102.0,2102.0,2102.0
A,KM2,L0008,BE241,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,939.0,941.0,941.0,941.0,941.0,941.0
A,KM2,L0008,BE242,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1157.0,1161.0,1161.0,1161.0,1161.0,1161.0
A,KM2,L0008,BE25,3132.0,3132.0,3132.0,3132.0,3132.0,3132.0,3132.0,3132.0,3132.0,3132.0,3132.0,3132.0,3132.0,3132.0,3132.0,3132.0,3132.0,3132.0,3132.0,3132.0,3134.0,3126.0,3126.0,3126.0,3126.0,3126.0
A,KM2,L0008,BE251,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,658.0,648.0,648.0,648.0,648.0,648.0
A,KM2,L0008,BE252,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,360.0,361.0,361.0,361.0,361.0,361.0
A,KM2,L0008,BE253,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0
A,KM2,L0008,BE254,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,403.0,401.0,402.0,402.0,402.0,402.0,402.0
A,KM2,L0008,BE255,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,291.0,291.0,291.0,291.0,291.0,291.0
A,KM2,L0008,BE256,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,271.0,272.0,272.0,272.0,272.0,272.0
A,KM2,L0008,BE257,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,330.0,330.0,330.0,330.0,330.0,330.0
A,KM2,L0008,BE258,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,275.0,274.0,274.0,274.0,274.0,274.0
A,KM2,L0008,BE3,16803.0,16803.0,16803.0,16803.0,16803.0,16803.0,16803.0,16803.0,16803.0,16803.0,16803.0,16803.0,16803.0,16803.0,16803.0,16803.0,16803.0,16803.0,16803.0,16803.0,16796.0,16804.0,16804.0,16804.0,16804.0,16804.0
A,KM2,L0008,BE31,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1086.0,1091.0,1091.0,1091.0,1091.0,1091.0
A,KM2,L0008,BE310,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1086.0,1091.0,1091.0,1091.0,1091.0,1091.0
A,KM2,L0008,BE32,3773.0,3773.0,3773.0,3773.0,3773.0,3773.0,3773.0,3773.0,3773.0,3773.0,3773.0,3773.0,3773.0,3773.0,3773.0,3773.0,3773.0,3773.0,3773.0,3773.0,3769.0,3775.0,3775.0,3775.0,3775.0,3775.0
