freq,unit,geo\TIME_PERIOD,2015,2016,2017,2018,2019,2020,2021,2022
A,PC,ITG2,:,:,:,:,:,:,5.5,6.7
A,PC,ITH,6.0,4.8,2.5,2.1,1.7,2.7,1.9,1.6
A,PC,ITH1,:,:,:,:,:,:,0.5,0.0
A,PC,ITH2,:,:,:,:,:,:,3.2,2.9
A,PC,ITH3,:,:,:,:,:,:,2.6,2.2
A,PC,ITH4,:,:,:,:,:,:,2.9,1.6
A,PC,ITH5,:,:,:,:,:,:,0.9,1.0
A,PC,ITI,9.1,6.8,4.5,5.2,5.0,3.8,3.8,2.1
A,PC,ITI1,:,:,:,:,:,:,2.7,1.6
A,PC,ITI2,:,:,:,:,:,:,3.4,1.2
A,PC,ITI3,:,:,:,:,:,:,3.3,2.1
A,PC,ITI4,:,:,:,:,:,:,4.8,2.6
A,PC,LT,14.6,15.4,14.4,12.0,9.7,8.1,6.4,6.0
A,PC,LT01,:,:,14.4,10.8,7.0,6.2,4.5,5.4
A,PC,LT02,:,:,14.3,12.5,10.8,8.9,7.1,6.3
A,PC,LU,2.5,2.0b,1.9,1.6,1.4,1.7b,2.4b,2.0b
A,PC,LV,15.4,12.6,12.9,10.4,7.5,7.0,5.3,7.8
A,PC,ME,32.1,29.5,28.5,27.3,21.0,23.0,24.0,18.0
A,PC,MK,29.1,27.5,24.6,22.6,22.1,17.8,:,:
A,PC,MT,8.2,5.2,4.3,4.7,5.0,5.1,5.4,4.9
A,PC,NL,3.2,2.6b,2.6,2.6,2.8,2.2,2.1,2.5
A,PC,NL1,1.8,2.2b,2.2,2.3,3.1,2.5,2.5,3.6
A,PC,NL11,:,1.3b,2.0,1.5,4.4,2.3,2.7,2.6
A,PC,NL12,:,1.7b,2.7,2.8,2.3,2.9,1.5,5.2
A,PC,NL13,:,4.0b,1.8,2.5,2.5,2.2,3.4,2.8
A,PC,NL2,1.6,1.8b,2.3,1.9,3.2,1.3,1.3,1.8
A,PC,NL21,:,1.6b,3.4,1.2,3.2,1.2,1.2,1.4
A,PC,NL22,:,1.6b,1.4,2.2,3.3,1.3,1.2,1.9
A,PC,NL23,:,3.4b,3.6,1.9,2.7,1.5,2.0,3.0
A,PC,NL3,4.3,3.3b,3.2,3.3,3.0,2.9,2.4,2.8
A,PC,NL31,:,1.3b,2.5,2.5,1.8,1.6,2.5,1.2
A,PC,NL32,:,3.5b,3.8,2.9,3.1,3.4,3.0,3.5
A,PC,NL33,:,4.0b,3.2,4.1,3.5,3.0,2.2,3.0
A,PC,NL34,:,1.4b,0.5,1.5,1.3,2.4,0.7,1.1
A,PC,NL4,3.0,1.9b,1.7,1.9,1.8,1.6,2.1,1.9
A,PC,NL41,:,1.7b,1.4,1.2,1.9,1.6,1.6,1.7
A,PC,NL42,:,2.6b,2.6,3.6,1.7,1.5,3.3,2.2
A,PC,NO,1.7,:,2.0,1.7,2.0,2.4,2.1b,1.9
A,PC,NO01,2.1,:,2.3,2.1,2.0,2.5,:,:
A,PC,NO02,1.0,:,2.1,0.4,3.7,2.9,0.7b,2.3
A,PC,NO03,2.4,:,1.8,2.2,1.9,1.7,:,:
A,PC,NO04,0.7,:,3.0,1.7,1.9,2.4,:,:
A,PC,NO05,1.3,:,1.7,1.9,1.3,2.4,:,:
A,PC,NO06,1.9,:,2.2,0.8,1.5,2.3,1.7b,0.2
A,PC,NO07,1.8,:,0.8,1.2,2.8,:,2.3b,0.9
A,PC,NO08,:,:,:,:,:,:,2.1b,2.5
A,PC,NO09,:,:,:,:,:,:,1.8b,2.1
A,PC,NO0A,:,:,:,:,:,:,2.7b,1.6
A,PC,PL,7.8,5.4,5.3,4.5,3.5,2.6,2.9,2.8
A,PC,PL1,6.2,3.9,4.5,:,:,:,:,:
A,PC,PL2,6.1,5.1,4.9,5.5,3.2,1.8,3.0,2.5
A,PC,PL21,:,:,:,:,2.8,1.4,1.7,2.0
A,PC,PL22,:,:,:,:,3.5,2.1,3.8,2.8
A,PC,PL3,8.2,6.3,6.0,:,:,:,:,:
A,PC,PL4,8.7,7.1,6.8,4.6,4.0,3.3,3.3,2.8
A,PC,PL41,:,:,:,:,3.5,2.8,2.9,2.4
A,PC,PL42,:,:,:,:,5.4,4.4,3.8,3.4
A,PC,PL43,:,:,:,:,3.6,3.3,3.8,3.1
A,PC,PL5,10.0,5.2,4.9,2.6,3.0,2.0,2.5,2.3
A,PC,PL51,:,:,:,:,3.4,2.0,2.6,2.4
A,PC,PL52,:,:,:,:,2.0,2.3,2.2,1.7
A,PC,PL6,9.2,5.1,5.0,4.2,3.7,3.1,3.4,3.3
A,PC,PL61,:,:,:,:,4.1,2.6,3.5,3.0
A,PC,PL62,:,:,:,:,4.7,4.4,4.8,4.4
A,PC,PL63,:,:,:,:,2.7,2.8,2.4,2.9
A,PC,PL7,:,:,:,5.3,3.6,2.4,2.9,3.7
A,PC,PL71,:,:,:,:,3.3,2.3,3.3,4.4
A,PC,PL72,:,:,:,:,4.4,2.8,2.2,2.4
A,PC,PL8,:,:,:,5.4,4.0,3.2,2.8,2.9
A,PC,PL81,:,:,:,:,4.4,3.0,2.8,3.2
A,PC,PL82,:,:,:,:,4.6,3.7,2.5,2.8
A,PC,PL84,:,:,:,:,2.3,2.5,3.0,2.3
A,PC,PL9,:,:,:,3.5,2.7,2.3,2.5,2.4
A,PC,PL91,:,:,:,:,2.4,2.3,2.9,2.1
A,PC,PL92,:,:,:,:,3.1,2.2,2.1,2.7
A,PC,PT,10.9,9.1,8.0,6.6,5.6,5.4,6.0,5.3
A,PC,PT11,:,:,:,7.1,5.8,5.6,7.4,6.3
A,PC,PT15,:,:,:,7.7,7.0,9.6,6.1,5.0
A,PC,PT16,:,:,:,5.7,4.3,4.8,4.6,3.9
A,PC,PT17,:,:,:,5.9,5.1,4.1,5.3,5.1
A,PC,PT18,:,:,:,5.8,5.7,4.7,4.5,3.2
A,PC,PT20,:,:,:,13.6,14.9,13.0,8.7,9.8
A,PC,PT30,:,:,:,8.8,8.5,11.3,8.9,7.8
A,PC,RO,34.0,35.9,32.4,28.3,24.5,25.3,23.1,24.3
