freq,sex,isced97,unit,geo,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
A,F,ED0,NR,BG3,:,:,:,:,:,:,52345,52862,53727,53620,53552,54584,55153,56289,57081
A,F,ED0,NR,BG31,:,:,:,:,:,:,12364,12578,12283,12259,12211,12191,12251,12111,12395
A,F,ED0,NR,BG32,:,:,:,:,:,:,11785,11844,12159,11925,11969,12129,12006,12350,12076
A,F,ED0,NR,BG33,:,:,:,:,:,:,13673,13861,14222,14334,14287,14711,14952,15236,15560
A,F,ED0,NR,BG34,:,:,:,:,:,:,14523,14579,15063,15102,15085,15553,15944,16592,17050
A,F,ED0,NR,BG4,:,:,:,:,:,:,44890,45272,46217,46214,46678,48081,49940,51630,53086
A,F,ED0,NR,BG41,:,:,:,:,:,:,26075,26025,26739,26927,27326,28197,29371,30350,31527
A,F,ED0,NR,BG42,:,:,:,:,:,:,18815,19247,19478,19287,19352,19884,20569,21280,21559
A,F,ED0,NR,CH,:,:,:,:,:,:,:,:,:,74089,73728,74319,71625,72391,72674
A,F,ED0,NR,CH0,:,:,:,:,:,:,:,:,:,74089,73728,74319,71625,72391,72674
A,F,ED0,NR,CH01,:,:,:,:,:,:,:,:,:,:,:,:,:,14859,14857
A,F,ED0,NR,CH02,:,:,:,:,:,:,:,:,:,:,:,:,:,15100,15096
A,F,ED0,NR,CH03,:,:,:,:,:,:,:,:,:,:,:,:,:,9648,9729
A,F,ED0,NR,CH04,:,:,:,:,:,:,:,:,:,:,:,:,:,12974,12997
A,F,ED0,NR,CH05,:,:,:,:,:,:,:,:,:,:,:,:,:,10390,10149
A,F,ED0,NR,CH06,:,:,:,:,:,:,:,:,:,:,:,:,:,5378,5823
A,F,ED0,NR,CH07,:,:,:,:,:,:,:,:,:,:,:,:,:,4042,4023
A,F,ED0,NR,CY,:,9103,8419,8516,8303,8010,7804,8003,9378,9432,9819,9878,10222,10348,10586
A,F,ED0,NR,CY0,:,9103,8419,8516,8303,8010,7804,8003,9378,9432,9819,9878,10222,10348,10586
A,F,ED0,NR,CY00,:,9103,8419,8516,8303,8010,7804,8003,9378,9432,9819,9878,10222,10348,10586
